id,full_equation,complexity,full_equation_tokens_bpe,full_equation_token_ids
1262,x_rms=(2+T_0)^n,2,x_rms=(2+T_0)^n,"[764, 195, 415, 488, 98]"
3161,Q=phi,1,Q=phi,"[398, 691]"
971,a=mu_1,1,a=mu_1,"[563, 665, 495]"
3913,p=exp(1/2-psi_net),3,p=exp(1/2-psi_net),"[680, 257, 20, 698, 546]"
5199,b=int(d_1+g)dr,4,b=int(d_1+g)dr,"[579, 261, 600, 499, 617, 107]"
8847,m=g_2^2,2,m=g_2^2,"[661, 617, 502, 462]"
260,Q=sum_k=1^n(4/3+R+mu_f^-+beta+C)-sum_n=0^n(pi+v_avg+r_net+F)+(2/3*h-P-lambda_f)/(1/2*e*T)+cos(pi+W),5,Q=sum_k=1^n(4/3+R+mu_f^-+beta+C)-sum_n=0^n(pi+v_avg+r_net+F)+(2/3*h-P-lambda_f)/(1/2*e*T)+cos(pi+W),"[395, 312, 181, 406, 665, 516, 454, 592, 334, 49, 720, 209, 696, 738, 513, 702, 549, 351, 41, 159, 632, 389, 648, 516, 62, 607, 415, 44, 696, 433]"
3791,B=P,1,B=P,"[328, 386]"
9203,E=log(h+mu),3,E=log(h+mu),"[343, 278, 631, 666]"
488,C=cos(G+r+tau_i),3,C=cos(G+r+tau_i),"[334, 234, 360, 704, 727, 525]"
7908,m_net=ln(2*C),3,m_net=ln(2*C),"[656, 545, 275, 148, 335]"
519,B_min=sum_i=1^inf(sigma_avg+y+F),4,B_min=sum_i=1^inf(sigma_avg+y+F),"[332, 306, 709, 513, 768, 352]"
8343,R=sin(e+n_i),3,R=sin(e+n_i),"[403, 300, 608, 669, 525]"
312,x=(1/3+F)^n,2,x=(1/3+F)^n,"[756, 193, 351, 98]"
3232,n=(C)/(4/3*alpha),2,n=(C)/(4/3*alpha),"[673, 334, 81, 577]"
7933,F=tan(2/3+k+phi),3,F=tan(2/3+k+phi),"[351, 315, 165, 692]"
7458,F=tan(4-h+omega),3,F=tan(4-h+omega),"[351, 315, 180, 631, 677]"
9784,h=int(1+c+T+c^-)dt,4,h=int(1+c+T+c^-)dt,"[628, 260, 6, 418, 593, 451, 108]"
5184,L_2=partialP/partialx,4,L_2=partialP/partialx,"[372, 502, 287, 145]"
8077,T_min=(1+t)/(1/3-t),2,T_min=(1+t)/(1/3-t),"[422, 187, 721, 67, 722]"
6502,g=(1/3-V)/(c),2,g=(1/3-V)/(c),"[617, 194, 424, 57, 594]"
6791,C=4*p_avg,1,C=4*p_avg,"[334, 227, 687]"
7773,y=sqrt(k-mu*W),3,y=sqrt(k-mu*W),"[765, 302, 647, 665, 111, 433]"
2738,A_0=tan(R*R),3,A_0=tan(R*R),"[323, 315, 405, 404]"
7842,W_max=(a_min)/(4*g_i),2,W_max=(a_min)/(4*g_i),"[432, 537, 574, 78, 617, 525]"
6262,E=(alpha_f)/(4*m_2),2,E=(alpha_f)/(4*m_2),"[348, 576, 516, 78, 656, 503]"
8206,B=P,1,B=P,"[328, 386]"
1248,h=tan(I+w),3,h=tan(I+w),"[628, 315, 365, 753]"
9336,T=4*c,1,T=4*c,"[415, 227, 593]"
4195,A=1*u+T^-1*v^2-N_A-psi*w-ln(4+G+a)-sum_i=0^n(1+pi+c_min),5,A=1*u+T^-1*v^2-N_A-psi*w-ln(4+G+a)-sum_i=0^n(1+pi+c_min),"[317, 211, 736, 415, 456, 113, 466, 385, 698, 111, 752, 124, 653, 179, 360, 558, 49, 717, 208, 10, 593, 539]"
8001,z=T_min,1,z=T_min,"[777, 422]"
7378,g=sqrt(c+z+m_max),3,g=sqrt(c+z+m_max),"[617, 302, 596, 776, 656, 532]"
3435,T=(e*epsilon_i+P^**omega_i^-1)/(2/3-k*phi_i)+cos(R*m_0),5,T=(e*epsilon_i+P^**omega_i^-1)/(2/3-k*phi_i)+cos(R*m_0),"[420, 607, 611, 528, 386, 443, 676, 524, 456, 73, 645, 691, 524, 44, 405, 656, 489]"
5382,v_min=(4/3*g)/(1-sigma_2),2,v_min=(4/3*g)/(1-sigma_2),"[749, 201, 617, 61, 709, 503]"
959,a=int_0^L(pi+R_1^3+x+a_i^-)dx,4,a=int_0^L(pi+R_1^3+x+a_i^-)dx,"[558, 265, 696, 403, 495, 470, 756, 117, 524, 451, 109]"
417,V=(4/3+theta)^2,2,V=(4/3+theta)^2,"[424, 202, 731, 89]"
5742,P=lambda_i^n,2,P=lambda_i^n,"[390, 648, 524, 483]"
6728,n=sin(4+e+v),3,n=sin(4+e+v),"[669, 299, 32, 608, 739]"
4382,C=(3+omega)^2,2,C=(3+omega)^2,"[334, 197, 676, 89]"
5197,I=(W)/(theta),2,I=(W)/(theta),"[367, 432, 57, 732]"
1113,L=tan(2/3*c*v+gamma),3,L=tan(2/3*c*v+gamma),"[372, 315, 159, 595, 741, 626]"
2689,C=sum_i=0^inf(h+F^*+I_min^-1+v),4,C=sum_i=0^inf(h+F^*+I_min^-1+v),"[334, 304, 631, 351, 444, 362, 538, 456, 123]"
6473,I_f=ln(1+w_min+W),3,I_f=ln(1+w_min+W),"[362, 522, 652, 3, 752, 542, 433]"
8820,W=dm/dt-3-G*n*P_i-exp(h+I^-1-r_min),5,W=dm/dt-3-G*n*P_i-exp(h+I^-1-r_min),"[432, 254, 138, 176, 359, 669, 111, 386, 529, 616, 631, 362, 461, 702, 539]"
7808,v=tan(3-pi-phi),3,v=tan(3-pi-phi),"[738, 315, 176, 697, 692]"
3411,Q=1/3*R,1,Q=1/3*R,"[395, 217, 403]"
81,x=gamma_rms,1,x=gamma_rms,"[760, 625, 553]"
4614,b_2=int(1+c+h_avg)dr,4,b_2=int(1+c+h_avg)dr,"[579, 502, 260, 6, 635, 107]"
1374,C=sum_n=0^N(e+C+L+z_1),4,C=sum_n=0^N(e+C+L+z_1),"[334, 313, 205, 608, 336, 376, 774, 496]"
1510,v_f=(1+N_A+h_rms+z^*+n)^1/2-(1/2+R+W)^n+1-tan(k*y+t)+(1/2+pi+epsilon)^n+1,5,v_f=(1+N_A+h_rms+z^*+n)^1/2-(1/2+R+W)^n+1-tan(k*y+t)+(1/2+pi+epsilon)^n+1,"[738, 516, 187, 384, 628, 556, 774, 444, 669, 88, 13, 406, 432, 103, 726, 645, 765, 121, 40, 19, 611, 101]"
6443,y=exp(m_avg),3,y=exp(m_avg),"[765, 258, 656, 510]"
3071,A=2*beta,1,A=2*beta,"[321, 148, 589]"
3016,L=V_1,1,L=V_1,"[377, 424, 495]"
4823,V=log(3+e+u+delta),3,V=log(3+e+u+delta),"[424, 278, 168, 608, 736, 605]"
7822,P=(1/3*c)/(1-mu_avg),2,P=(1/3*c)/(1-mu_avg),"[386, 192, 593, 61, 665, 510]"
93,L_max=exp(1/2+c+w+g_i),3,L_max=exp(1/2+c+w+g_i),"[372, 531, 257, 15, 755, 617, 525]"
9421,T=4/3+V,1,T=4/3+V,"[415, 231, 424]"
6600,g_2=sqrt(F_net*r_1)-R+m_min*h_rms+omega-sqrt(mu),5,g_2=sqrt(F_net*r_1)-R+m_min*h_rms+omega-sqrt(mu),"[617, 502, 302, 351, 548, 702, 495, 49, 406, 656, 541, 628, 556, 679, 716, 666]"
4443,Q=tan(4/3+h+tau_1),3,Q=tan(4/3+h+tau_1),"[395, 315, 181, 631, 727, 496]"
7602,W=(3+delta_f)/(R),2,W=(3+delta_f)/(R),"[432, 197, 604, 518, 404]"
3835,x_i=log(R-c-v_avg)-(R+beta_avg*u_max^n-gamma)/(1*h*C_2*m_rms-h^-1)+(1/2*m-m_i^-1*c^circ)/(1+pi*c^*),5,x_i=log(R-c-v_avg)-(R+beta_avg*u_max^n-gamma)/(1*h*C_2*m_rms-h^-1)+(1/2*m-m_i^-1*c^circ)/(1+pi*c^*),"[762, 278, 407, 597, 748, 50, 406, 589, 512, 734, 531, 487, 625, 59, 630, 334, 505, 656, 557, 628, 458, 12, 660, 656, 524, 459, 593, 476, 60, 695, 593, 442]"
9702,C=(1/3+A)^n,2,C=(1/3+A)^n,"[334, 193, 317, 98]"
4322,x=(1/3+V)^3,2,x=(1/3+V)^3,"[756, 193, 424, 94]"
3394,C=sum_j=0^n(N_A+mu_avg^++L),4,C=sum_j=0^n(N_A+mu_avg^++L),"[334, 308, 384, 665, 509, 449, 373]"
4752,A=t^2,2,A=t^2,"[321, 721, 462]"
7229,A_min=int_a^inf(1+psi+d)dx,4,A_min=int_a^inf(1+psi+d)dx,"[317, 538, 271, 481, 3, 698, 120, 109]"
9191,I=4/3*Q_i,1,I=4/3*Q_i,"[362, 230, 395, 524]"
2361,E=a,1,E=a,"[347, 558]"
1148,x_min=sin(4/3+k+I*E),3,x_min=sin(4/3+k+I*E),"[756, 538, 299, 37, 646, 364, 344]"
5666,p=z,1,p=z,"[684, 774]"
8075,g=dg/dx+(2/3+R_1+n)^2+(4-A*c)/(1/3-h-V_0^2-R),5,g=dg/dx+(2/3+R_1+n)^2+(4-A*c)/(1/3-h-V_0^2-R),"[617, 252, 139, 115, 160, 403, 499, 669, 90, 35, 317, 111, 593, 67, 632, 424, 488, 466, 404]"
4943,b_min=ln(1/3+pi*v_0*m_1),3,b_min=ln(1/3+pi*v_0*m_1),"[579, 544, 652, 22, 695, 738, 491, 656, 496]"
3663,C_net=tan(k+phi+d),3,C_net=tan(k+phi+d),"[334, 545, 315, 646, 691, 120, 39]"
1563,A_min=sin(theta+y),3,A_min=sin(theta+y),"[317, 538, 300, 733, 766]"
4113,b=exp(1+n),3,b=exp(1+n),"[579, 257, 3, 670]"
9050,T=(e+s+V+v^2)^3+int_L^inf(theta_max^3)dt+(2/3+epsilon)^-1,5,T=(e+s+V+v^2)^3+int_L^inf(theta_max^3)dt+(2/3+epsilon)^-1,"[420, 608, 706, 116, 122, 462, 95, 643, 482, 731, 531, 467, 108, 115, 160, 611, 84]"
9276,T=2/3-p_rms,1,T=2/3-p_rms,"[419, 166, 680, 553]"
8538,B_avg=sqrt(2/3+G+A+theta_0),3,B_avg=sqrt(2/3+G+A+theta_0),"[330, 302, 161, 319, 731, 489]"
795,C=sqrt(3+N_A+a)+(2+R+b+v)^n+(c-C-L_f-t_max^-)/(h*mu_f)+sin(N_A-u),5,C=sqrt(3+N_A+a)+(2+R+b+v)^n+(c-C-L_f-t_max^-)/(h*mu_f)+sin(N_A-u),"[334, 302, 170, 558, 41, 152, 579, 122, 100, 597, 334, 124, 372, 521, 721, 531, 451, 57, 630, 665, 516, 40, 714, 385, 735]"
5854,z=int(1/2+E^++h)dV,4,z=int(1/2+E^++h)dV,"[774, 260, 13, 343, 449, 628, 106]"
7619,h=dE/dt,4,h=dE/dt,"[628, 239, 136]"
1594,h=int_L^L(G+y+phi+V)dt,4,h=int_L^L(G+y+phi+V)dt,"[628, 269, 360, 768, 691, 116, 108]"
7418,V_2=log(h+t+B),3,V_2=log(h+t+B),"[424, 502, 278, 631, 723, 326]"
5267,E=(mu)/(L),2,E=(mu)/(L),"[348, 665, 57, 373]"
7147,V=(A)/(W),2,V=(A)/(W),"[429, 317, 57, 433]"
89,W_max=dQ/dt,4,W_max=dQ/dt,"[432, 531, 244, 136]"
8695,Q_1=int_L^L(3+e+V_2+p)dV-log(L_rms*a_1^-1)-sin(2/3*G*theta_i^circ+u),5,Q_1=int_L^L(3+e+V_2+p)dV-log(L_rms*a_1^-1)-sin(2/3*G*theta_i^circ+u),"[400, 269, 168, 608, 424, 506, 680, 106, 124, 655, 372, 553, 112, 495, 456, 49, 714, 159, 359, 731, 524, 479, 735]"
9732,E=epsilon^n,2,E=epsilon^n,"[347, 611, 483]"
9446,A=beta,1,A=beta,"[321, 589]"
6754,h=partialR/partialt,4,h=partialR/partialt,"[628, 289, 143]"
3502,Q=(L)/(omega),2,Q=(L)/(omega),"[399, 374, 677]"
2234,n=int(N_A+alpha_min)dV,4,n=int(N_A+alpha_min)dV,"[669, 263, 576, 538, 106]"
2803,E=cos(4/3*N_A*s_rms-d_i),3,E=cos(4/3*N_A*s_rms-d_i),"[343, 233, 36, 383, 706, 553, 127, 525]"
4424,L=partialp/partialy,4,L=partialp/partialy,"[372, 297, 146]"
5663,R=ln(pi+V+V),3,R=ln(pi+V+V),"[403, 275, 696, 424, 116, 39]"
7170,V=sqrt(tau_2+A)-2/3*G*t^3+tan(x_rms^n+h_min)-(1/2*G*F+epsilon)/(pi-m*mu),5,V=sqrt(tau_2+A)-2/3*G*t^3+tan(x_rms^n+h_min)-(1/2*G*F+epsilon)/(pi-m*mu),"[424, 302, 727, 506, 317, 49, 159, 359, 721, 470, 726, 764, 486, 638, 49, 12, 359, 353, 611, 57, 697, 658, 666]"
8337,z=(1/2+lambda)^2,2,z=(1/2+lambda)^2,"[774, 190, 648, 89]"
2148,V=exp(2-x_rms-s),3,V=exp(2-x_rms-s),"[424, 258, 158, 756, 557, 707]"
7969,x=dn/dx,4,x=dn/dx,"[756, 255, 139]"
6551,p=3+m_2,1,p=3+m_2,"[684, 168, 656, 502]"
7643,R_min=exp(h-w),3,R_min=exp(h-w),"[412, 258, 632, 753]"
6164,x=int(e+a+epsilon)dV,4,x=int(e+a+epsilon)dV,"[756, 261, 608, 561, 611, 106]"
1495,B=sum_k=0^N(1/2+k+I_f+a_2)+beta_max*b_i*m_2+int(4+R+C_rms+Q_1+psi)dx-sum_j=0^n(pi+p),5,B=sum_k=0^N(1/2+k+I_f+a_2)+beta_max*b_i*m_2+int(4+R+C_rms+Q_1+psi)dx-sum_j=0^n(pi+p),"[325, 310, 204, 18, 369, 117, 502, 40, 589, 534, 579, 527, 656, 506, 640, 32, 406, 334, 556, 395, 499, 698, 110, 718, 209, 696, 681]"
7696,n=2+a_avg,1,n=2+a_avg,"[672, 149, 570]"
7094,W=int_a^b(c+R)dV,4,W=int_a^b(c+R)dV,"[432, 273, 596, 403, 106]"
1409,y=int_0^inf(G+a_0)dt,4,y=int_0^inf(G+a_0)dt,"[765, 267, 360, 567, 108]"
6691,p=4/3*alpha_min,1,p=4/3*alpha_min,"[680, 230, 576, 538]"
3401,I=4/3-p,1,I=4/3-p,"[362, 232, 680]"
109,a=int(4+pi+d)dt,4,a=int(4+pi+d)dt,"[558, 260, 32, 696, 600, 108]"
5636,A=3*theta,1,A=3*theta,"[321, 167, 731]"
8482,W=(4/3-alpha)/(4/3*C),2,W=(4/3-alpha)/(4/3*C),"[432, 203, 576, 81, 335]"
6604,A=sum_i=1^inf(mu^3),4,A=sum_i=1^inf(mu^3),"[317, 306, 665, 468]"
1091,T=gamma_0,1,T=gamma_0,"[419, 625, 488]"
5560,P=(c+F_rms-R-m)/(1/2-R+y)+c_0,5,P=(c+F_rms-R-m)/(1/2-R+y)+c_0,"[391, 596, 351, 557, 407, 656, 64, 406, 765, 40, 593, 488]"
9412,T=A_avg^n,2,T=A_avg^n,"[419, 317, 509, 483]"
8143,F=cos(r+mu),3,F=cos(r+mu),"[351, 234, 704, 666]"
8664,h_rms=dp/dx,4,h_rms=dp/dx,"[639, 236, 680, 139]"
6596,C=mu,1,C=mu,"[337, 665]"
624,E=int(pi+w_min)dr,4,E=int(pi+w_min)dr,"[343, 261, 696, 752, 538, 107]"
6871,W=v,1,W=v,"[437, 738]"
4814,A=dP/dx,4,A=dP/dx,"[317, 243]"
6553,E_net=cos(2+N_A+B+lambda_f),3,E_net=cos(2+N_A+B+lambda_f),"[343, 545, 234, 151, 327, 648, 517]"
7530,T=tan(z^++B_rms^++C)+ln(R+p_min^circ+t)+(2/3-G-gamma*v)/(delta^2-omega_max*v_f^n),5,T=tan(z^++B_rms^++C)+ln(R+p_min^circ+t)+(2/3-G-gamma*v)/(delta^2-omega_max*v_f^n),"[415, 315, 774, 449, 333, 449, 334, 46, 406, 688, 479, 721, 41, 166, 361, 625, 113, 57, 604, 466, 676, 531, 113, 516, 484]"
5796,I=x,1,I=x,"[366, 756]"
7437,B=(d_i)/(4/3+a_avg),2,B=(d_i)/(4/3+a_avg),"[329, 600, 524, 82, 558, 510]"
4218,V_min=sin(V+m_0),3,V_min=sin(V+m_0),"[431, 300, 426, 656, 489]"
5941,m=P,1,m=P,"[661, 386]"
8501,W=2+w_rms,1,W=2+w_rms,"[437, 149, 752, 553]"
6429,F=sum_k=1^inf(2+G+t),4,F=sum_k=1^inf(2+G+t),"[351, 310, 223, 150, 722]"
6827,z=u^3,2,z=u^3,"[777, 734, 467]"
4131,F=1/2-b,1,F=1/2-b,"[351, 216, 579]"
7802,v_rms=(y_avg)/(gamma_f),2,v_rms=(y_avg)/(gamma_f),"[751, 184, 765, 511, 625, 517]"
7754,R=sum_i=0^n(4+c^+),4,R=sum_i=0^n(4+c^+),"[403, 305, 179, 593, 447]"
4722,P=(P)/(P),2,P=(P)/(P),"[391, 386, 57, 387]"
1651,V=1/2-gamma,1,V=1/2-gamma,"[424, 216, 625]"
4141,B=z_max,1,B=z_max,"[328, 774, 531]"
1618,C=sqrt(d),3,C=sqrt(d),"[334, 302, 601]"
2030,x=partiala/partialy+(u+B+g)^2,5,x=partiala/partialy+(u+B+g)^2,"[756, 292, 146, 115, 736, 327, 617, 89]"
8518,b_0=log(z_i),3,b_0=log(z_i),"[584, 278, 774, 525]"
4576,L=1/3+lambda,1,L=1/3+lambda,"[372, 218, 648]"
3993,a_min=ln(1/3+R*w),3,a_min=ln(1/3+R*w),"[558, 544, 652, 22, 405, 753]"
7377,z_i=(1/2+delta)^3,2,z_i=(1/2+delta)^3,"[774, 524, 190, 604, 94]"
6150,T=1/3+x+(G+beta)^2-1/2*t*L^-1-(h-E)/(2+h-A_i-g*omega^*),5,T=1/3+x+(G+beta)^2-1/2*t*L^-1-(h-E)/(2+h-A_i-g*omega^*),"[415, 218, 756, 115, 360, 589, 92, 147, 130, 721, 111, 372, 456, 125, 632, 343, 69, 632, 317, 529, 619, 676, 442]"
4909,T=int_a^L(1+h+tau_0^++mu_max+z)dx,4,T=int_a^L(1+h+tau_0^++mu_max+z)dx,"[415, 271, 472, 8, 727, 488, 449, 665, 535, 774, 109]"
5027,W=(Q)/(p),2,W=(Q)/(p),"[438, 395, 57, 681]"
8261,P=4*I,1,P=4*I,"[386, 227, 362]"
4732,g=(v)/(t),2,g=(v)/(t),"[622, 738, 57, 722]"
7549,W=sum_n=1^n(e+F_net^-1+a_avg),4,W=sum_n=1^n(e+F_net^-1+a_avg),"[432, 314, 608, 351, 545, 456, 117, 510]"
8135,p_net=tan(c+a-I^-+V)-sin(pi+epsilon)+dA/dt-e*w,5,p_net=tan(c+a-I^-+V)-sin(pi+epsilon)+dA/dt-e*w,"[689, 315, 596, 562, 362, 454, 424, 49, 714, 696, 611, 45, 317, 138, 607, 752]"
1607,a=(3+c)/(x_max),2,a=(3+c)/(x_max),"[558, 197, 593, 57, 756, 532]"
4774,p_net=sum_j=0^N(k+P+V^*+z_net),4,p_net=sum_j=0^N(k+P+V^*+z_net),"[689, 307, 205, 646, 386, 116, 444, 774, 546]"
8110,T=dL/dx+(1/2-pi+A_i^n+x_min*t)/(1/3-R+gamma^n-a_rms)+(2/3+e+d^n+psi^*)^2-da/dx,5,T=dL/dx+(1/2-pi+A_i^n+x_min*t)/(1/3-R+gamma^n-a_rms)+(2/3+e+d^n+psi^*)^2-da/dx,"[415, 241, 140, 20, 696, 324, 486, 756, 541, 721, 67, 406, 625, 487, 575, 41, 164, 600, 486, 698, 441, 92, 603, 139]"
6952,W_i=(psi)/(2/3-psi),2,W_i=(psi)/(2/3-psi),"[432, 530, 698, 73, 699]"
6005,F=sqrt(R-n^--phi+x_i)+4+u^circ+n_2+a,5,F=sqrt(R-n^--phi+x_i)+4+u^circ+n_2+a,"[351, 302, 407, 669, 455, 694, 762, 40, 179, 734, 479, 669, 506, 558]"
7729,h=int_a^b(G+C^circ)dt,4,h=int_a^b(G+C^circ)dt,"[628, 273, 360, 334, 476, 108]"
3542,L=(1/3+s)^3,2,L=(1/3+s)^3,"[372, 193, 706, 94]"
389,P=sum_i=0^n(2/3+a^-+t^-1),4,P=sum_i=0^n(2/3+a^-+t^-1),"[386, 305, 160, 558, 454, 721, 457]"
1795,a=2/3-pi+epsilon-W_i+(k+omega+m+E_1)^n+2*g,5,a=2/3-pi+epsilon-W_i+(k+omega+m+E_1)^n+2*g,"[563, 166, 696, 614, 432, 524, 115, 646, 678, 659, 349, 99, 148, 617]"
8732,F_rms=(B)/(beta),2,F_rms=(B)/(beta),"[358, 184, 325, 57, 590]"
4920,B=(G*h_f+p)/(2*L^n*v_max-s)+(1/2+F^circ+z_0+mu_max)^3-(c+tau^n)^2,5,B=(G*h_f+p)/(2*L^n*v_max-s)+(1/2+F^circ+z_0+mu_max)^3-(c+tau^n)^2,"[329, 359, 628, 520, 680, 68, 372, 483, 113, 536, 706, 40, 13, 351, 479, 774, 492, 665, 531, 97, 596, 727, 483, 89]"
5538,P=sin(4+s_f),3,P=sin(4+s_f),"[386, 299, 32, 706, 517]"
3873,I_max=sin(R+V),3,I_max=sin(R+V),"[370, 300, 406, 425]"
8869,F=int(N_A+a_rms^*)dr,4,F=int(N_A+a_rms^*)dr,"[351, 263, 575, 441, 107]"
2255,F=dn/dt+dg/dx,5,F=dn/dt+dg/dx,"[351, 255, 136, 120, 617, 139]"
3413,T=log(h_net*a),3,T=log(h_net*a),"[415, 278, 628, 548, 559]"
5460,p_net=int(T^*+p_2^3)dr+(2+N_A+t_max+s+R)^2+sqrt(G+n+v_1+P)+1/3+v_net*b_1,5,p_net=int(T^*+p_2^3)dr+(2+N_A+t_max+s+R)^2+sqrt(G+n+v_1+P)+1/3+v_net*b_1,"[689, 261, 415, 444, 686, 467, 107, 115, 151, 721, 535, 708, 403, 90, 716, 360, 669, 122, 499, 386, 43, 134, 738, 548, 585]"
4956,h=mu_net,1,h=mu_net,"[633, 665, 545]"
7397,E=(3+P)/(2*z_avg),2,E=(3+P)/(2*z_avg),"[343, 197, 386, 68, 774, 510]"
5415,L=(G+psi+v_0+h)^3+(e+r_i+gamma_avg^2)^3+(3+L_avg+m+u_net)^n,5,L=(G+psi+v_0+h)^3+(e+r_i+gamma_avg^2)^3+(3+L_avg+m+u_net)^n,"[378, 360, 698, 122, 492, 628, 95, 0, 608, 702, 528, 625, 509, 462, 95, 0, 168, 372, 513, 659, 734, 545, 98]"
7400,E=W^*+h-int(3+G+g+W)dV,5,E=W^*+h-int(3+G+g+W)dV,"[347, 432, 444, 632, 641, 169, 620, 432, 106]"
7415,v=(z+mu)/(h*lambda_f+h_i)+1/2-y+c,5,v=(z+mu)/(h*lambda_f+h_i)+1/2-y+c,"[744, 776, 665, 57, 630, 648, 520, 636, 43, 132, 768, 593]"
9101,Q=V_net,1,Q=V_net,"[398, 424, 545]"
4852,P=V^n,2,P=V^n,"[390, 424, 483]"
2026,v=phi,1,v=phi,"[743, 691]"
2616,m=phi_2,1,m=phi_2,"[661, 691, 502]"
7389,Q=partialm/partialt,4,Q=partialm/partialt,"[395, 295, 143]"
2927,a=(1+R)^n,2,a=(1+R)^n,"[558, 187, 403, 98]"
1122,W=(2/3+V_2)^2,2,W=(2/3+V_2)^2,"[432, 196, 424, 502, 89]"
2911,a=delta,1,a=delta,"[565, 610]"
8147,a=L^3,2,a=L^3,"[563, 372, 467]"
7384,y_net=sum_k=0^n(R+t+F_i),4,y_net=sum_k=0^n(R+t+F_i),"[765, 545, 310, 209, 406, 723, 351, 525]"
3483,V_net=tan(c-mu-psi),3,V_net=tan(c-mu-psi),"[424, 545, 315, 597, 668, 699]"
796,E=1/2*m,1,E=1/2*m,"[343, 214, 656]"
1576,y=4/3-A_min,1,y=4/3-A_min,"[765, 232, 317, 538]"
6177,T_min=(1/2+v)^2,2,T_min=(1/2+v)^2,"[422, 190, 738, 89]"
6267,a=(1+beta_i)/(delta_0),2,a=(1+beta_i)/(delta_0),"[558, 187, 589, 526, 604, 489]"
2459,a_1=int(1/3+pi+s_1+W_min+mu_2)dr,4,a_1=int(1/3+pi+s_1+W_min+mu_2)dr,"[568, 260, 28, 706, 499, 432, 542, 665, 502, 107]"
3313,C_max=sin(G-x_net-t_max),3,C_max=sin(G-x_net-t_max),"[340, 300, 361, 756, 550, 721, 532]"
1254,y_0=partialT/partialy,4,y_0=partialT/partialy,"[765, 488, 290, 146]"
6835,I=(R+delta_2+n+phi_2)^3-int_0^L(N_A+b+g^-+a)dV-(pi+t^-)/(1/2+G-psi^3*g)-2-R*F_avg+v_min+w,5,I=(R+delta_2+n+phi_2)^3-int_0^L(N_A+b+g^-+a)dV-(pi+t^-)/(1/2+G-psi^3*g)-2-R*F_avg+v_min+w,"[367, 406, 604, 506, 671, 691, 502, 96, 642, 473, 384, 581, 617, 451, 117, 106, 125, 696, 721, 451, 63, 361, 698, 469, 617, 49, 158, 405, 356, 122, 542, 752]"
8795,I_f=(4+e+gamma_f+t+a_min^n)^2-dg/dx,5,I_f=(4+e+gamma_f+t+a_min^n)^2-dg/dx,"[369, 199, 608, 625, 520, 721, 117, 538, 483, 92, 600, 617, 139]"
3838,h_max=sqrt(1/3+e+v_i+epsilon),3,h_max=sqrt(1/3+e+v_i+epsilon),"[637, 301, 25, 738, 528, 612]"
4399,b=int(4/3+c+a+R_2)dr,4,b=int(4/3+c+a+R_2)dr,"[579, 262, 596, 561, 410, 107]"
3596,E=y,1,E=y,"[347, 765]"
6622,C_f=(omega)/(tau),2,C_f=(omega)/(tau),"[334, 523, 676, 57, 728]"
8383,P_avg=sqrt(1/2+k-d*c_min),3,P_avg=sqrt(1/2+k-d*c_min),"[393, 301, 13, 647, 600, 111, 593, 539]"
2125,F=(e*z_min)/(pi*w-phi^n)+(1/3+N_A+n_net*beta+sigma)/(1*c+epsilon_min+theta_max*gamma^-)+delta^+-m-beta_f,5,F=(e*z_min)/(pi*w-phi^n)+(1/3+N_A+n_net*beta+sigma)/(1*c+epsilon_min+theta_max*gamma^-)+delta^+-m-beta_f,"[355, 607, 774, 540, 695, 752, 124, 691, 483, 40, 23, 669, 548, 592, 709, 59, 596, 611, 542, 731, 534, 625, 451, 40, 604, 450, 660, 589, 516]"
3239,C_rms=dp/dx,4,C_rms=dp/dx,"[342, 236, 680, 139]"
5404,Q_f=int_a^inf(2/3+gamma+Q)dr,4,Q_f=int_a^inf(2/3+gamma+Q)dr,"[395, 516, 274, 160, 627, 395, 107]"
5999,z=dI/dx,4,z=dI/dx,"[774, 240, 139]"
5939,b=int(N_A+alpha+v+mu)dV,4,b=int(N_A+alpha+v+mu)dV,"[579, 263, 576, 122, 114, 665, 106]"
2046,P=2/3*x,1,P=2/3*x,"[390, 159, 756]"
1579,v=sum_i=1^inf(lambda+t+A),4,v=sum_i=1^inf(lambda+t+A),"[738, 306, 648, 121, 114, 318]"
15,E=1+pi*epsilon^-1-2*h*p_net*theta,5,E=1+pi*epsilon^-1-2*h*p_net*theta,"[343, 212, 695, 611, 461, 148, 630, 680, 548, 731]"
2674,g=sum_j=1^n(L),4,g=sum_j=1^n(L),"[617, 309, 373]"
7017,v_avg=(Q)/(1*psi),2,v_avg=(Q)/(1*psi),"[738, 515, 395, 59, 699]"
8721,n=a,1,n=a,"[672, 558]"
8850,I=(2+s+mu^3+v_net)^3+(3-G*h_2^3+B-Q)/(1/3+W_avg^+-alpha)-1/2+R*a*beta_min^n,5,I=(2+s+mu^3+v_net)^3+(3-G*h_2^3+B-Q)/(1/3+W_avg^+-alpha)-1/2+R*a*beta_min^n,"[362, 195, 708, 665, 470, 750, 95, 0, 176, 359, 628, 502, 470, 325, 124, 395, 66, 432, 509, 450, 576, 52, 131, 405, 560, 589, 538, 483]"
4813,F=exp(4/3+pi+v+d),3,F=exp(4/3+pi+v+d),"[351, 259, 696, 738, 120, 39]"
1085,a=dn/dx+(1/2+G+a_0)^2,5,a=dn/dx+(1/2+G+a_0)^2,"[565, 669, 140, 13, 360, 567, 89]"
